date,home_team,away_team,winner,first_shooter
9/19/2002,Iran,Paraguay,Iran,
10/23/2002,Kenya,South Africa,Kenya,
10/26/2002,Tanzania,South Africa,South Africa,
10/26/2002,Kenya,Uganda,Kenya,
11/19/2002,South Africa,Senegal,Senegal,
12/27/2002,Niger,Burkina Faso,Burkina Faso,
12/29/2002,Niger,Mali,Niger,
1/20/2003,Bangladesh,Maldives,Bangladesh,
2/4/2003,Uruguay,Iran,Uruguay,Iran
3/7/2003,Benin,Niger,Benin,
3/15/2003,Guadeloupe,French Guiana,Guadeloupe,
3/22/2003,Mozambique,Lesotho,Mozambique,
3/27/2003,Tunisia,Ghana,Tunisia,
3/30/2003,Ghana,Madagascar,Ghana,
5/24/2003,Botswana,Malawi,Malawi,
7/9/2003,New Caledonia,Vanuatu,New Caledonia,
8/16/2003,Malawi,Zambia,Malawi,
9/24/2003,Algeria,Gabon,Algeria,
9/26/2003,Algeria,Burkina Faso,Algeria,
12/8/2003,Kenya,Rwanda,Rwanda,
12/8/2003,Sudan,Uganda,Uganda,
2/11/2004,Tunisia,Nigeria,Tunisia,
2/19/2004,Kazakhstan,Armenia,Kazakhstan,
2/28/2004,Lesotho,Botswana,Botswana,
6/23/2004,Jordan,Syria,Syria,
6/24/2004,Portugal,England,Portugal,England
6/26/2004,Sweden,Netherlands,Netherlands,Sweden
7/18/2004,Angola,Botswana,Angola,
7/21/2004,Uruguay,Brazil,Brazil,Brazil
7/25/2004,Argentina,Brazil,Brazil,Argentina
7/30/2004,Uzbekistan,Bahrain,Bahrain,Bahrain
7/31/2004,Japan,Jordan,Japan,Japan
8/3/2004,China PR,Iran,China PR,China PR
10/22/2004,Nigeria,Ecuador,Ecuador,
10/24/2004,Zimbabwe,Zambia,Zambia,
11/20/2004,Zambia,Angola,Angola,
11/30/2004,Thailand,Estonia,Thailand,
11/30/2004,Singapore,Hong Kong,Hong Kong,
12/2/2004,Thailand,Slovakia,Slovakia,
12/3/2004,Bahrain,Latvia,Bahrain,
12/3/2004,Finland,Oman,Oman,
12/22/2004,Ethiopia,Kenya,Ethiopia,
12/24/2004,Qatar,Oman,Qatar,
2/8/2005,Cyprus,Austria,Cyprus,
2/9/2005,Austria,Latvia,Latvia,
2/27/2005,Costa Rica,Honduras,Costa Rica,
4/16/2005,Namibia,Botswana,Botswana,
5/15/2005,Jersey,Guernsey,Guernsey,
6/26/2005,Mexico,Argentina,Argentina,Mexico
7/17/2005,South Africa,Panama,Panama,Panama
7/24/2005,United States,Panama,United States,Panama
7/28/2005,Kuwait,United Arab Emirates,United Arab Emirates,
